status,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Not Reported Fixed,132981,133993,131511,99436,97743,113118,113132,109405,114485,114921,119491,114932
Reported Fixed,91376,84640,85146,69836,65770,72905,74286,71339,68625,71098,73073,70290
