answered_survey,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
No,20325,9437,5012,3408,3026,5843,18493,53866,107371,153151,159853,160801,151826,147508,149058,146832,138878,117155,105074,98048,92988,83602,69266,41988
Yes,2853,1250,641,428,417,647,2004,5508,11802,17283,18110,18596,17694,17217,17148,16966,17045,15552,14242,13759,13593,12156,9896,5916
