status,1,2,3,4,5,6,7,8,9,10
Not Reported Fixed,201341,182405,165204,147525,126544,113650,102500,92793,87057,72436
Reported Fixed,138515,139117,119511,100846,83159,69557,59251,50531,47951,38685
