status-council,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
No,20197,9402,5048,3468,3072,5487,16829,46778,94921,135116,141292,143363,137011,132572,133116,132196,128938,112945,102210,95751,91212,81879,67836,41233
Yes,2981,1285,605,368,371,1003,3668,12596,24252,35318,36671,36034,32509,32153,33090,31602,26985,19762,17106,16056,15369,13879,11326,6671
