cobrand_reduced,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Cobrand,,,3.0,1970.0,2336.0,9381.0,24082.0,36605.0,47273.0,49797.0,52209.0,107897.0,134801.0,173739.0
FixMyStreet.com,9938.0,22484.0,41028.0,55568.0,61367.0,66710.0,81944.0,101304.0,114611.0,150662.0,156579.0,204874.0,255924.0,330446.0
