method,1,2,3,4,5,6,7,8,9,10
Desktop,84.0,106.0,70.0,89.0,76.0,75.0,94.0,107.0,108.0,113.0
Mobile,1825.0,1333.0,1662.0,2007.0,1928.0,2018.0,2070.0,2266.0,2922.0,3005.0
Unclear,6996.0,6577.0,5601.0,7164.0,7059.0,8232.0,8117.0,8661.0,8612.0,10016.0
