year,1,2,3,4,5,6,7,8,9,10
2007,1137,1043,1051,925,872,885,733,910,706,655
2008,2294,2080,2034,1825,1789,1809,1568,1643,1493,1333
2009,4159,3757,3957,3822,3625,3426,3529,3314,3177,2842
2010,5105,4842,5371,5137,5147,5176,5114,4961,4905,4363
2011,6027,5372,5824,5599,5395,5420,5125,5215,5046,4612
2012,7414,6865,7167,6791,7175,6907,6394,6388,6275,5802
2013,9508,9718,9800,9262,9971,10550,9421,9545,9808,9680
2014,11721,13662,12224,11863,13486,13838,12586,12912,12581,13033
2015,13816,16108,15007,14875,15607,15711,14889,14833,15531,14852
2016,18589,21093,21051,18844,19795,19079,17261,16545,16987,17440
2017,19297,21123,22204,19072,19919,19454,17692,17875,17566,20291
2018,22030,26627,27352,25237,28261,28016,27927,30476,32668,43855
2019,30619,37232,38562,35817,38652,32707,35644,36327,37249,49510
2020,37328,46919,50371,48112,51678,44047,47923,49780,48718,58032
