answered_survey,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
No,197612,193546,191838,149412,145474,165511,166721,161778,163956,166712,173378,166871
Yes,26745,25087,24819,19860,18039,20512,20697,18966,19154,19307,19186,18351
