method,1,2,3,4,5,6,7,8,9,10
Desktop,8901,5204,4550,3919,4266,4300,3790,4246,3731,4093
Mobile,47696,34213,33264,33667,39220,39662,47780,52681,54855,59060
Open311,4163,1860,1204,1191,1152,1238,1175,874,664,434
Unclear,275177,173013,153870,150854,149591,151285,143872,156289,138699,142875
