status,1,2,3,4,5,6,7,8,9,10
Not Reported Fixed,8512,7351,5334,5458,5749,5839,6787,6069,7603,7910
Reported Fixed,4223,3625,2742,2704,2954,2615,3034,2933,3518,4033
