year,1,2,3,4,5,6,7,8,9,10
2007,963,1001,904,1060,1037,960,810,735,741,706
2008,2034,2095,2025,1907,1887,1780,1669,1602,1405,1464
2009,4275,4177,4080,3943,3442,3377,3238,3059,3130,2887
2010,6129,5586,5389,5520,4694,4922,5089,4655,4058,4079
2011,6183,6361,5932,5624,5154,5392,5169,5031,4523,4266
2012,7407,7522,7116,7047,6885,7260,6864,6377,5832,4868
2013,10379,9963,9245,10104,9668,10301,11004,10092,9274,7233
2014,12620,12697,11905,13179,13269,13081,14640,13292,12792,10431
2015,15077,15733,16009,15175,15819,14931,16902,15368,14966,11249
2016,17708,20342,21878,19529,19853,17933,19915,18357,17109,14060
2017,19257,21352,22191,19774,19822,18372,21114,19747,18357,14507
2018,29861,34057,32134,28156,28154,26946,31780,30743,28106,22512
2019,34778,42709,41128,39614,39342,36319,39592,35256,33870,29711
2020,46249,52693,57577,51952,51946,50085,50867,43815,41658,36066
