method,1,2,3,4,5,6,7,8,9,10
Desktop,2910,3802,4324,4468,4624,4319,5147,5263,5306,6837
Mobile,52376,58559,58508,49239,51816,39205,37168,32307,31147,31773
Open311,526,740,1040,1048,1184,970,1536,1982,2551,2378
Unclear,133232,153340,158103,152426,163748,162531,161955,171172,173706,205312
