year,1,2,3,4,5,6,7,8,9,10
2007,1420,1333,916,991,917,859,924,966,837,773
2008,2475,2313,2203,2014,2383,2326,2350,2098,2020,2294
2009,4286,4393,3708,3997,4323,4134,4002,3901,3891,4389
2010,5161,5484,5086,5257,5667,5825,5770,5857,6439,6985
2011,5205,5969,5721,5804,6396,6656,6553,6396,7105,7888
2012,7147,8102,7088,7077,7166,7439,7417,7495,7905,9239
2013,8306,10285,10146,10542,9355,10215,9977,10114,11805,15266
2014,10734,14604,13307,13896,12319,13888,12428,13336,15312,18074
2015,14164,17649,14990,15319,13353,15835,14724,15422,18536,21878
2016,22706,24384,18614,18865,15949,17937,17149,17835,21077,25919
2017,22821,24828,19791,19846,17092,18078,17866,18595,22271,27573
2018,25690,31194,25211,27478,23571,25179,26999,27894,40335,59127
2019,40675,45438,33301,34056,28788,31884,32810,33861,46411,63464
2020,54634,54992,41011,41508,38592,40857,42035,44842,62138,83521
