year,1,2,3,4,5,6,7,8,9,10
2007,1500,1426,977,827,745,773,724,730,692,523
2008,2310,2441,2040,1563,1714,1710,1693,1512,1599,1286
2009,4346,4707,3984,3332,3306,3313,3330,3183,3316,2791
2010,5296,6767,5360,4668,4750,4947,4951,4720,4608,4054
2011,5381,6637,6067,5297,5160,5075,5392,4925,5165,4536
2012,8092,9778,8511,6379,5842,5723,5786,5715,5885,5467
2013,10689,13506,13104,9615,8343,8217,8421,8410,9250,7708
2014,14829,19860,17622,12634,11056,10867,10824,10561,10956,8697
2015,21215,21580,20326,14684,13501,13827,12906,12456,11644,9090
2016,33949,28165,22667,16276,14894,15257,14949,14385,14586,11556
2017,33376,29859,23995,16730,14741,14855,15990,16356,16381,12210
2018,39150,36593,29080,24279,23762,26352,29212,31545,31789,20687
2019,63389,56921,37816,29982,28865,30103,30144,32665,38316,24118
2020,83048,73934,47099,37499,36169,38510,38263,42653,48629,37104
