SHEF_A,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Graffiti,581.0,220.0,110.0,103.0,58.0,139.0,404.0,1119.0,2515.0,3377.0,3336.0,3503.0,3387.0,3501.0,3554.0,3471.0,3564.0,3152.0,2717.0,2386.0,2479.0,2154.0,1695.0,1089.0
Grass/Weed Control,104.0,45.0,26.0,12.0,16.0,47.0,182.0,461.0,921.0,1458.0,1734.0,1721.0,1453.0,1478.0,1465.0,1395.0,1269.0,939.0,734.0,701.0,720.0,670.0,479.0,231.0
Grids and Drains,,1.0,2.0,,1.0,,10.0,11.0,34.0,13.0,22.0,20.0,22.0,18.0,19.0,21.0,25.0,15.0,14.0,15.0,10.0,5.0,16.0,4.0
Grit Bins,1.0,1.0,1.0,,2.0,,1.0,16.0,41.0,86.0,83.0,108.0,63.0,52.0,69.0,69.0,49.0,29.0,18.0,20.0,9.0,9.0,7.0,7.0
Gritting,2.0,2.0,,,,1.0,4.0,5.0,9.0,18.0,28.0,20.0,14.0,10.0,22.0,10.0,10.0,9.0,11.0,10.0,9.0,12.0,2.0,7.0
Grounds Maintenance,,,,,,,1.0,1.0,1.0,3.0,,2.0,2.0,6.0,2.0,5.0,1.0,,3.0,,4.0,2.0,1.0,
Gullies,29.0,16.0,8.0,6.0,5.0,12.0,41.0,138.0,346.0,627.0,705.0,732.0,627.0,623.0,663.0,649.0,551.0,416.0,276.0,259.0,211.0,190.0,168.0,67.0
Gully/Manhole Defects,31.0,13.0,6.0,3.0,2.0,7.0,19.0,48.0,98.0,175.0,172.0,216.0,203.0,198.0,201.0,211.0,184.0,162.0,126.0,142.0,107.0,89.0,119.0,74.0
Highway Condition,1833.0,917.0,505.0,312.0,234.0,457.0,1274.0,3584.0,7075.0,9610.0,10002.0,10098.0,10050.0,9993.0,9976.0,10103.0,10092.0,9463.0,9285.0,8330.0,7809.0,7174.0,5998.0,3795.0
Highway Drainage,1.0,1.0,,1.0,,2.0,1.0,2.0,21.0,16.0,21.0,14.0,19.0,12.0,15.0,12.0,14.0,17.0,6.0,9.0,7.0,10.0,8.0,2.0
Ice & Snow,,1.0,,,1.0,,5.0,12.0,24.0,57.0,33.0,32.0,34.0,14.0,24.0,16.0,16.0,7.0,13.0,12.0,13.0,13.0,6.0,2.0
Leafing,13.0,12.0,5.0,,3.0,5.0,23.0,62.0,106.0,160.0,177.0,186.0,161.0,136.0,155.0,175.0,165.0,106.0,83.0,62.0,63.0,61.0,59.0,21.0
Lewisham Homes,6.0,3.0,1.0,1.0,1.0,4.0,28.0,61.0,43.0,54.0,64.0,66.0,46.0,41.0,57.0,45.0,41.0,43.0,33.0,31.0,31.0,22.0,10.0,9.0
Lit Signs,,,,,,,,,,,,,,,,,,,1.0,,,,,
Litter/Litter Bin,128.0,68.0,18.0,13.0,22.0,38.0,153.0,630.0,1166.0,1674.0,1514.0,1534.0,1328.0,1346.0,1065.0,1147.0,1129.0,858.0,757.0,626.0,586.0,521.0,405.0,286.0
Manhole Covers,46.0,23.0,7.0,8.0,5.0,20.0,63.0,158.0,409.0,714.0,712.0,741.0,671.0,629.0,647.0,667.0,505.0,389.0,295.0,291.0,244.0,203.0,189.0,90.0
Manhole Defects,2.0,,3.0,,,,1.0,8.0,7.0,21.0,17.0,22.0,25.0,21.0,24.0,18.0,16.0,21.0,20.0,6.0,10.0,10.0,6.0,2.0
Missed Bin Collection,10.0,4.0,,,,6.0,40.0,107.0,143.0,229.0,353.0,220.0,187.0,213.0,226.0,214.0,121.0,95.0,124.0,76.0,63.0,41.0,41.0,26.0
Noise,4.0,3.0,,,,,4.0,2.0,3.0,7.0,8.0,7.0,7.0,3.0,9.0,7.0,8.0,9.0,8.0,8.0,9.0,11.0,7.0,3.0
Obstruction,139.0,84.0,35.0,25.0,28.0,66.0,154.0,435.0,1126.0,1980.0,1990.0,1883.0,1846.0,1664.0,1739.0,1760.0,1571.0,1068.0,904.0,776.0,709.0,593.0,480.0,282.0
Open Spaces/Parks,305.0,148.0,62.0,35.0,40.0,62.0,289.0,872.0,1664.0,2427.0,2570.0,2603.0,2506.0,2349.0,2372.0,2452.0,2192.0,1964.0,1781.0,1607.0,1422.0,1283.0,974.0,594.0
Other,1290.0,687.0,389.0,218.0,254.0,350.0,1017.0,3161.0,6485.0,9245.0,9822.0,9712.0,9424.0,9210.0,9678.0,9758.0,8649.0,7078.0,6315.0,5977.0,5787.0,5212.0,4412.0,2707.0
Overgrown Vegetation,195.0,85.0,40.0,30.0,40.0,97.0,275.0,756.0,1800.0,3216.0,3704.0,3916.0,3498.0,3307.0,3543.0,3342.0,2912.0,1892.0,1486.0,1432.0,1366.0,1262.0,902.0,471.0
