method,1,2,3,4,5,6,7,8,9,10
Desktop,4374.0,4607.0,3590.0,4038.0,3565.0,4028.0,4265.0,4427.0,6650.0,9130.0
Mobile,77948.0,72776.0,45775.0,40465.0,37752.0,37331.0,37860.0,38807.0,42428.0,49609.0
Open311,203.0,506.0,577.0,751.0,1001.0,1231.0,1549.0,1523.0,2635.0,3979.0
Unclear,142899.0,173079.0,151151.0,161396.0,143553.0,158522.0,157330.0,163855.0,214369.0,283672.0
