status,1,2,3,4,5,6,7,8,9,10
Not Reported Fixed,135877,143328,143201,134693,130714,130964,132982,123384,114676,101636
Reported Fixed,77043,92960,94312,87891,90258,80695,95671,84745,81145,62403
