gender_of_sender,1,2,3,4,5,6,7,8,9,10
Female Sender,6438,7759,9662,10918,10935,11244,11338,12159,12204,14050
Male Sender,5842,7089,7997,9130,9580,10073,10378,11257,11769,13475
