gender_of_rep,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Female Representatives,835,438,266,208,216,481,1166,2682,4441,6190,7048,7727,7502,7232,6572,6213,6325,5762,5178,4719,4431,3745,2840,1644
Male Representatives,1520,793,496,356,352,842,2332,4985,8440,11460,13161,13853,13323,12860,11991,11255,11414,10652,9487,8875,8182,7123,5296,2875
