type_of_recipient,1,2,3,4,5,6,7,8,9,10
AM (London),356.0,713.0,1640.0,1597.0,1858.0,1538.0,1633.0,868.0,622.0,111.0
Councillors,5040.0,6222.0,6715.0,6812.0,6763.0,6368.0,6092.0,5291.0,4767.0,3839.0
Lords,313.0,244.0,346.0,276.0,228.0,256.0,258.0,194.0,238.0,193.0
MEP,113.0,107.0,158.0,134.0,186.0,155.0,85.0,44.0,64.0,25.0
MP,16975.0,17057.0,16339.0,15829.0,15015.0,14618.0,14206.0,13688.0,13361.0,13181.0
