type_of_recipient,1,2,3,4,5,6,7,8,9,10
AM (Wales),334.0,271.0,282.0,290.0,223.0,382.0,285.0,263.0,363.0,406.0
Councillors,286.0,184.0,154.0,143.0,138.0,154.0,157.0,198.0,271.0,206.0
Lords,14.0,20.0,6.0,9.0,23.0,11.0,6.0,12.0,27.0,11.0
MEP,4.0,10.0,4.0,4.0,1.0,2.0,,,4.0,1.0
MP,668.0,595.0,471.0,506.0,462.0,521.0,424.0,586.0,674.0,651.0
