answer_survey,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
No,1737,917,599,421,426,896,2325,5094,8685,11940,13662,14656,14462,13905,13032,12181,12158,11172,10023,9285,8706,7746,5890,3258
Yes,868,439,247,202,207,566,1564,3441,5572,7586,8667,9253,8625,8371,7627,7294,7458,6984,6313,5738,5270,4310,3113,1784
