gender_of_sender,1,2,3,4,5,6,7,8,9,10
Female Sender,5206,2273,1915,2148,2262,2151,2475,3026,2779,2993
Male Sender,3655,1688,1823,1499,1681,1675,2085,2092,2435,2211
