gender_of_rep,1,2,3,4,5,6,7,8,9,10
Female Representatives,4967,7065,8072,7528,8334,7483,7431,7147,6502,7727
Male Representatives,7004,9600,11281,12444,13833,13958,14393,14654,15111,15384
