type_of_recipient,No,Yes
AM (London),10611,325
AM (Northern Ireland),5707,665
AM (Wales),2605,494
Councillors,65918,9958
Lords,1364,1708
MEP,1110,65
MP,74314,93878
MSP,21547,4406
