gender_of_sender,1,2,3,4,5,6,7,8,9,10
Female Sender,3499,2421,2483,2037,2038,2267,2360,2698,3085,4336
Male Sender,2677,1865,1470,1840,1646,1952,1860,2232,2413,2888
