gender_of_rep,1,2,3,4,5,6,7,8,9,10
Female Representatives,867,970,1184,1188,1368,1592,1613,1880,2286,2877
Male Representatives,1576,1916,2169,2532,2567,3166,3575,3905,4636,6010
