type_of_recipient,1,2,3,4,5,6,7,8,9,10
Councillors,1212.0,1111.0,1161.0,1273.0,1193.0,1444.0,1437.0,1558.0,1806.0,2400.0
Lords,12.0,28.0,4.0,12.0,32.0,25.0,18.0,25.0,27.0,31.0
MEP,12.0,1.0,1.0,,2.0,,12.0,1.0,,12.0
MP,641.0,634.0,658.0,989.0,932.0,1087.0,1195.0,1357.0,1433.0,1807.0
MSP,1132.0,1193.0,1298.0,1917.0,2476.0,2479.0,3384.0,3245.0,3918.0,4910.0
