type_of_recipient,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
AM (London),146.0,100.0,45.0,33.0,33.0,55.0,49.0,295.0,422.0,749.0,848.0,925.0,783.0,893.0,934.0,710.0,701.0,617.0,626.0,489.0,452.0,419.0,381.0,231.0
AM (Northern Ireland),50.0,12.0,12.0,,4.0,21.0,74.0,91.0,228.0,379.0,394.0,528.0,664.0,516.0,566.0,426.0,364.0,349.0,335.0,298.0,309.0,320.0,254.0,178.0
AM (Wales),24.0,16.0,8.0,7.0,12.0,9.0,51.0,72.0,170.0,210.0,222.0,201.0,263.0,206.0,258.0,215.0,224.0,194.0,156.0,174.0,133.0,101.0,125.0,48.0
Councillors,595.0,342.0,233.0,189.0,184.0,366.0,911.0,2155.0,3747.0,5080.0,6114.0,6521.0,6242.0,6181.0,5600.0,5135.0,5044.0,4347.0,3794.0,3587.0,3295.0,2895.0,2073.0,1246.0
Lords,42.0,42.0,13.0,13.0,6.0,19.0,56.0,103.0,120.0,189.0,245.0,287.0,198.0,194.0,176.0,192.0,191.0,189.0,170.0,164.0,164.0,148.0,100.0,51.0
MEP,28.0,12.0,,8.0,4.0,,42.0,22.0,60.0,65.0,41.0,75.0,92.0,104.0,43.0,74.0,94.0,49.0,87.0,37.0,60.0,59.0,94.0,25.0
MP,1485.0,735.0,454.0,340.0,373.0,857.0,2418.0,5209.0,8294.0,11082.0,12632.0,13626.0,12836.0,12399.0,11459.0,11085.0,11168.0,10503.0,9564.0,8677.0,8057.0,6938.0,5129.0,2872.0
MSP,235.0,97.0,81.0,33.0,17.0,135.0,288.0,588.0,1216.0,1772.0,1833.0,1746.0,2009.0,1783.0,1623.0,1638.0,1830.0,1908.0,1604.0,1597.0,1506.0,1176.0,847.0,391.0
