gender_of_sender,1,2,3,4,5,6,7,8,9,10
Female Sender,1288,1755,1900,2075,2351,2857,3319,3431,3727,4517
Male Sender,1086,1176,1549,1575,1834,2145,2708,2755,2603,3409
