gender_of_sender,1,2,3,4,5,6,7,8,9,10
Female Sender,13294,13539,13077,12193,10681,9540,8865,8650,8580,8288
Male Sender,11687,11005,10998,10567,9622,8729,8465,8843,8508,8166
