gender_of_rep,1,2,3,4,5,6,7,8,9,10
Female Representatives,5390,8713,9469,9849,9592,9949,9926,10019,9665,11284
Male Representatives,9204,12028,13497,16069,17779,18676,19352,20351,21315,23633
