first_use,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
No,2976,2872,5587,4233,10678,11345,4194,2727,4643,4782,7289,2737
Yes,1687,1549,4267,3129,7011,12913,2463,1825,2535,2726,5633,1698
