type_of_recipient,Female,Male
AM (London),5502,4158
AM (Northern Ireland),3431,2484
AM (Wales),1222,1632
Councillors,39200,29802
Lords,1421,1293
MEP,581,458
MP,79640,75197
MSP,13195,11014
