gender_of_rep,1,2,3,4,5,6,7,8,9,10
Female Representatives,4149,7483,8487,8296,7614,7590,7457,7094,6940,7146
Male Representatives,6826,9539,11175,12889,13454,14171,14311,14802,15361,15134
