type_of_recipient,1,2,3,4,5,6,7,8,9,10
AM (Wales),396.0,407.0,191.0,220.0,290.0,289.0,285.0,265.0,326.0,430.0
Councillors,105.0,126.0,150.0,208.0,173.0,184.0,222.0,242.0,221.0,260.0
Lords,27.0,20.0,6.0,10.0,4.0,12.0,10.0,10.0,23.0,17.0
MEP,4.0,1.0,1.0,4.0,6.0,4.0,4.0,,,6.0
MP,902.0,597.0,442.0,446.0,467.0,476.0,520.0,546.0,504.0,658.0
