type_of_recipient,Urban,Rural,More Rural
AM (London),10921,12,3
AM (Northern Ireland),3926,673,1773
AM (Wales),2014,395,690
Councillors,67095,4163,4618
Lords,2375,302,395
MEP,926,98,151
MP,131950,17576,18666
MSP,17421,2480,6052
