gender_of_rep,1,2,3,4,5,6,7,8,9,10
Female Representatives,20415,9031,6414,6134,5564,5611,4986,5155,4593,4353
Male Representatives,16597,12627,11766,12032,11195,11694,12332,12775,13098,13546
