gender_of_rep,1,2,3,4,5,6,7,8,9,10
Female Representatives,903,1075,1140,1365,1505,1622,1925,2067,1999,2231
Male Representatives,1685,2000,2041,2684,2752,3351,4143,4530,4284,4595
