gender_of_rep,1,2,3,4,5,6,7,8,9,10
Female Representatives,1543,1587,1512,1623,1651,1699,1565,1607,1689,1356
Male Representatives,2832,2985,2851,3142,3116,3536,3418,3376,3565,3244
