gender_of_sender,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Female Sender,7489,4047,12168,7238,13846,48048,8845,6501,8275,9200,12130,6405
Male Sender,5416,4589,12453,8012,18475,22065,7490,6275,8758,9201,16507,6797
