gender_of_sender,1,2,3,4,5,6,7,8,9,10
Female Sender,13488,15128,14204,12318,10352,9145,8572,7989,7922,7589
Male Sender,11202,12256,11050,9839,9590,8733,8514,8163,8479,8764
