got_response,1,2,3,4,5,6,7,8,9,10
No,290.0,345.0,451.0,538.0,590.0,643.0,791.0,929.0,979.0,1216.0
Yes,319.0,342.0,389.0,398.0,490.0,480.0,522.0,536.0,641.0,729.0
