type_of_recipient,1,2,3,4,5,6,7,8,9,10
AM (Wales),136.0,187.0,188.0,213.0,294.0,488.0,290.0,399.0,325.0,570.0
Councillors,138.0,180.0,151.0,160.0,192.0,172.0,193.0,157.0,258.0,287.0
Lords,4.0,12.0,4.0,7.0,10.0,19.0,20.0,18.0,22.0,23.0
MEP,,5.0,,5.0,4.0,2.0,,5.0,1.0,8.0
MP,247.0,363.0,389.0,449.0,475.0,618.0,720.0,731.0,735.0,826.0
