gender_of_sender,1,2,3,4,5,6,7,8,9,10
Female Sender,26037,15682,12415,12999,12721,12719,12662,11578,11787,15587
Male Sender,17661,12046,10990,11033,11620,11779,12489,11649,12248,14517
