type_of_recipient,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
AM (London),393.0,145.0,1296.0,621.0,748.0,3544.0,627.0,408.0,824.0,773.0,969.0,588.0
AM (Northern Ireland),1257.0,59.0,932.0,282.0,903.0,1025.0,329.0,315.0,567.0,221.0,258.0,224.0
AM (Wales),231.0,80.0,314.0,206.0,323.0,563.0,184.0,80.0,243.0,251.0,243.0,381.0
Councillors,4554.0,2878.0,7093.0,3939.0,5568.0,16103.0,5933.0,6251.0,5688.0,6338.0,7168.0,4363.0
Lords,126.0,95.0,193.0,206.0,280.0,860.0,202.0,99.0,522.0,179.0,192.0,118.0
MEP,1157.0,18.0,,,,,,,,,,
MP,5837.0,5768.0,15854.0,10574.0,25769.0,45308.0,8872.0,4726.0,9121.0,10637.0,20075.0,5651.0
MSP,530.0,404.0,1580.0,986.0,1433.0,8571.0,1594.0,2002.0,1711.0,1658.0,2074.0,3410.0
