gender_of_rep,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Female Representatives,4433,2910,8848,5358,9754,25928,5626,4360,5876,6421,9750,4597
Male Representatives,8152,5661,15668,9888,21938,42280,10444,8159,11025,11656,18284,8768
