gender_of_rep,1,2,3,4,5,6,7,8,9,10
Female Representatives,3920,6001,7115,7749,8034,7731,8109,7349,7333,8915
Male Representatives,6909,9074,10730,12594,13258,13808,14145,15056,15697,16391
