gender_of_sender,1,2,3,4,5,6,7,8,9,10
Female Sender,1438,1650,1567,2150,2375,2674,3151,3429,3940,4852
Male Sender,1252,1085,1331,1684,1929,2042,2577,2363,2865,3714
