gender_of_rep,1,2,3,4,5,6,7,8,9,10
Female Representatives,10491,9358,9230,8077,6994,5861,5674,5784,5472,5315
Male Representatives,14402,14774,14273,14361,12876,11905,11432,11308,11219,11112
