gender_of_sender,1,2,3,4,5,6,7,8,9,10
Female Sender,19199,15749,10391,9220,8426,8560,8509,9029,9144,8480
Male Sender,13517,11756,8930,8128,8358,8419,8960,9564,9651,9307
