gender_of_rep,1,2,3,4,5,6,7,8,9,10
Female Representatives,989,1032,955,1395,1533,1547,1855,1784,2092,2647
Male Representatives,1869,1733,1947,2478,2821,3123,3718,3908,4572,5895
