type_of_recipient,1,2,3,4,5,6,7,8,9,10
AM (London),6439.0,1891.0,920.0,537.0,328.0,249.0,292.0,194.0,86.0,
AM (Northern Ireland),65.0,331.0,312.0,436.0,466.0,656.0,671.0,772.0,1150.0,1510.0
AM (Wales),68.0,132.0,130.0,215.0,240.0,218.0,329.0,471.0,730.0,566.0
Councillors,15805.0,9668.0,7438.0,7705.0,7452.0,6709.0,6705.0,5370.0,4492.0,4526.0
Lords,449.0,251.0,275.0,215.0,255.0,276.0,326.0,288.0,345.0,383.0
MEP,209.0,136.0,135.0,110.0,79.0,59.0,79.0,85.0,119.0,164.0
MP,21699.0,16195.0,14493.0,14639.0,15272.0,15522.0,15921.0,16628.0,17857.0,19958.0
MSP,3401.0,2231.0,2073.0,2447.0,2588.0,2866.0,2806.0,1312.0,984.0,5245.0
