gender_of_rep,1,2,3,4,5,6,7,8,9,10
Female Representatives,9598,12211,10648,8214,6747,5752,5242,4532,4664,4648
Male Representatives,13994,14277,14138,13342,13116,12144,11808,11764,11578,11501
