gender_of_sender,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Female Sender,1137,581,366,241,261,583,1856,4145,6767,9419,10355,11301,11464,10757,10287,9665,9623,8751,8173,7588,7380,6348,4629,2515
Male Sender,1223,630,391,336,313,704,1672,3802,6370,8530,10060,10572,9827,9688,8657,8267,8399,7954,6779,6303,5508,4577,3475,2001
