gender_of_sender,1,2,3,4,5,6,7,8,9,10
Female Sender,10946,12061,12248,12011,11811,11216,10632,9443,8855,7484
Male Sender,9966,10232,10837,10484,10015,9589,9501,8861,8582,8523
