type_of_recipient,1,2,3,4,5,6,7,8,9,10
AM (London),75.0,121.0,272.0,441.0,676.0,750.0,940.0,1466.0,2190.0,4005.0
Councillors,3509.0,3908.0,4310.0,4473.0,5328.0,5323.0,5860.0,6576.0,8291.0,10331.0
Lords,340.0,297.0,220.0,248.0,206.0,225.0,211.0,219.0,256.0,324.0
MEP,133.0,82.0,79.0,58.0,114.0,75.0,75.0,90.0,175.0,190.0
MP,18589.0,15557.0,14224.0,13908.0,13654.0,13450.0,13732.0,14600.0,15417.0,17138.0
