gender_of_rep,1,2,3,4,5,6,7,8,9,10
Female Representatives,911,962,1137,1219,1342,1769,1941,1901,2072,2578
Male Representatives,1776,1842,2109,2374,2721,3492,3722,4288,4373,5368
