gender_of_rep,1,2,3,4,5,6,7,8,9,10
Female Representatives,3200,4256,4935,5546,5874,6776,7380,7526,9603,17160
Male Representatives,5666,7574,9374,11084,11762,13798,14987,15777,17723,19917
