gender_of_rep,1,2,3,4,5,6,7,8,9,10
Female Representatives,16901,11533,6725,5708,5294,5144,5012,5375,5323,5241
Male Representatives,15182,15275,12411,11639,11187,11418,11932,12741,13010,12867
