type_of_recipient,1,2,3,4,5,6,7,8,9,10
Councillors,3141.0,1483.0,1224.0,1262.0,1073.0,1068.0,1140.0,1389.0,1392.0,1423.0
Lords,52.0,7.0,6.0,32.0,11.0,11.0,23.0,23.0,16.0,33.0
MEP,,12.0,,1.0,15.0,,,,1.0,12.0
MP,2076.0,903.0,825.0,795.0,879.0,886.0,1043.0,1095.0,1082.0,1152.0
MSP,4323.0,1903.0,1957.0,1864.0,2273.0,2149.0,2663.0,2927.0,2997.0,2897.0
