gender_of_rep,1,2,3,4,5,6,7,8,9,10
Female Representatives,3836,4243,5206,6335,7670,8363,9233,8112,8716,10542
Male Representatives,7052,8789,10337,12085,12820,13462,14606,15250,15845,17416
