first_use,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
No,483,234,131,119,113,335,970,2129,3424,4508,4991,5434,4719,4597,4210,4087,4264,4022,3614,3274,3067,2528,1798,1012
Yes,385,205,116,83,94,231,594,1312,2148,3078,3676,3819,3906,3774,3417,3207,3194,2962,2699,2464,2203,1782,1315,772
