type_of_recipient,1,2,3,4,5,6,7,8,9,10
AM (London),5.0,389.0,597.0,1025.0,909.0,1157.0,933.0,925.0,1262.0,3734.0
Councillors,3382.0,4035.0,4781.0,4834.0,4892.0,5607.0,5728.0,6005.0,7456.0,11189.0
Lords,106.0,145.0,149.0,179.0,190.0,320.0,297.0,261.0,359.0,540.0
MEP,46.0,65.0,55.0,115.0,100.0,137.0,93.0,114.0,165.0,181.0
MP,6505.0,8535.0,10328.0,12136.0,13460.0,15330.0,17647.0,18773.0,21108.0,26447.0
